titel;author;konferenz;veranstaltungstitel;zeitschrift;datum;Tweet Datum;Tweet
Technology enabled Management Education - Die Lernum­gebung MBE Genius im Bereich Executive Study an der Universität St. Gallen.;Back, Andrea;null;null;IO Management;1998;2019-01-10 23:59:56+00:00;"@mulrike und wo ist das? Fehlt noch Schnee ;-)"
Ein Modell zur Kalkulation der Kosten je Absolvent.;Back, Andrea;null;null;ZfB-Sonderheft;01. Jan 94;2019-01-09 22:28:13+00:00;Nicht Sibirien: Hbf Mue. Pünktliche Abfahrt, auch das kann die #deutschebahn @db_blog Stressless - Danke, https://t.co/VbYkcJBZcE
Implementing a Classification Scheme for Enterprise 2.0.;Back, Andrea & Irmler, Peter;De Gruyter;null;Information Technology : it;01. Okt 12;2019-01-01 19:30:49+00:00;Alte Narben können auch schön sein. Am Fernwanderweg E10 unweit von Berlin. #tree #wood https://t.co/lapFjICqNN
Zwischen Euphorie und Ernüchterung: Wie entwickelt sich Collaborative Communication via Intranet und Extranet.;Back, Andrea;null;e-Education;null;01. Mai 03;2019-01-01 19:30:49+00:00;Alte Narben können auch schön sein. Am Fernwanderweg E10 unweit von Berlin. #tree #wood https://t.co/lapFjICqNN
Wissensmanagement und -Tools.;Back, Andrea;null;Blockwoche Informationsmanagement Intensivstudium KMU;null;01. Okt 02;2018-12-28 22:13:37+00:00;Endlich kalt #winter https://t.co/hEwc3FfEf1
Teamarbeit 2.0: Global - zeitgemäss - kompetent.;Back, Andrea;null;DATEV-Kongress 2012;null;20 July 2012;2018-12-28 11:35:22+00:00;Leseempfehlung: amüsant bittere Satire über Silicon Valley: The big disruption https://t.co/PvQfQ9rjLa
Tablet Books: Your Courses' Material in Harry Potter Newspaper Style.;Back, Andrea;null;eduhub days 2012 - Learning Café Lungo;null;03. Apr 12;2018-12-28 11:31:36+00:00;Dez-Kolumne, mit #coworking Erfahrung. Zuhause hütteln, ausser Haus loungen https://t.co/sOkn6vzHHc
Management Support Systeme im Informationszeitalter.;Back, Andrea;null;Refresher 1/99: Unternehmungsführung in turbulenter Zeit;null;17. Mär 99;2018-12-23 23:45:25+00:00;"Jaron Lanier im FAZ-Interview: ""KI ist im Moment ein Tarnbegriff für wirtschaftlichen Diebstahl"" (er meint: von Nut… https://t.co/epYQDJNlIY"
Unterwegs auf der Formel1-Rennstrecke der E-Learning-Innovationen.;Back, Andrea;null;Zukunft E-Learning: E-Learning-Strategie und didaktische Implikationen;null;04. Dez 06;2018-12-14 13:08:49+00:00;Heute Countrified Coworking in Lichtensteig - https://t.co/8MhuDVF0Nn, persönlich und spontan empfangen von Susanna… https://t.co/T2nz5DhzXI
A Text Mining Approach to Evaluate Submissions to Crowdsourcing Contests.;Walter, Thomas & Back, Andrea;IEEE Computer Society;46th Hawaii International Conference on System Sciences (HICSS);null;07. Jan 13;2018-12-08 19:27:22+00:00;Scheuklappen sind auch noch für anderes Weggucken im Arbeitsumfeld nützlich https://t.co/Ua90ioYBm8
Atos: Towards Zero Email Company.;Silic, Mario & Back, Andrea;The Case Centre (UK);null;null;2015;2018-12-06 19:22:47+00:00;Dec 6, mal nicht mit Nikolaus, Samichlaus etc, sondern Krishna. Impressive dance performance. Thx @SwissEmbassyIND https://t.co/YwRc5bGS69
Die Welt wird digital.;Back, Andrea;DATEV;null;DATEV magazin;July 2016;2018-12-04 20:31:17+00:00;#VirtualWT18 - we did it- as 1st in twelve sessions around the world! All the best to our peers - 2hr airtime is qu… https://t.co/LBucVVzJl6
Der Cyberspace des 21. Jahrhunderts - Unsere virtuelle neue Welt?;Back, Andrea;null;null;Forum FN: Themen der Zeit;01. Jan 97;2018-11-29 15:02:32+00:00;"3D printing with woodlike material - good to know! I am thinking of designing and printing my ""jewelry"" - good for… https://t.co/B4PzUGpwnY"
Balancing Innovation and Operations: Opportunities and Challenges of Second Generation Enterprise Mobility.;Berghaus, Sabine;null;null;The journal of management systems;14. Okt 14;2018-11-26 08:57:21+00:00;Nun gibt es genauen Session Beschrieb https://t.co/PUMaDxtNC0 und Hashtag #VWTourUniSG . Registrieren hier:… https://t.co/6m3ILUdUzy
University Apps.;Back, Andrea & Walter, Thomas;Stiftung Switch;null;Switchjournal;01. Okt 10;2018-11-25 16:46:51+00:00;Ein fahrbares Ding programmieren macht mehr Spass als eine wenig gegenständliche Applikation: Thymio heisst dieses… https://t.co/QxJng888Yf
E-Meetings in Europa: State-of-the-art und Zukunftstrends.;Mayrhofer, David & Back, Andrea;null;null;Bulletin;01. Jun 03;2018-11-25 16:40:38+00:00;Roboter, AR ähnlich wie Pokemon: da werden auch die Kleinen neugierig darauf, Programmieren zu verstehen. Scope | L… https://t.co/NhiUn9Y7iZ
Wissensmanagement und IT-Technologie - eine häufig missverstandene Beziehung.;Back, Andrea;null;BMW Forum Zukunft;null;6 July 2000;2018-11-24 21:38:09+00:00;Lehrmittel werden nicht mehr vergleichbar sein mit den herkömmlichen, die sich stark am Modell «Buch» orientieren.… https://t.co/Hsi09OYlkI
MERLIN - Materializing, Experiencing, Refining and Learning in Knowledge Networks.;Enkel, Ellen;null;null;null;19. Sep 00;2018-11-20 15:13:13+00:00;Endlich mal Finger in die Wunde via @FAZ_Wirtschaft: Wir haben Verschwendungskulturen (bzgl. Arbeitszeit als Ressou… https://t.co/zSvSbCilEu
Videobasiertes E-Learning auf dem Siegeszug 2.0.;Back, Andrea;null;Jubiläumskonferenz Livesession time4you;null;24. Nov 09;2018-11-19 06:25:05+00:00;24h rund um die Welt, am 4. Dez.: 12 akademische Institutionen auf Sendung in Sachen Arbeitsforschung. Kostenlos da… https://t.co/evGpZTtlCP
Teamorientierung im Management - Management Support goes Groupware. 4 Workshop des GI-Arbeitskreises 5.5.2 Management Support Systems (MSS).;Back, Andrea & Seufert, Andreas;null;null;Wirtschaftsinformatik;01. Jan 96;2018-11-19 06:20:14+00:00;Ideen zum Fliegen bringen für 5./6. Klasse, in der Digital Business Werkstatt @smartfeld : Bericht über erste Durch… https://t.co/9E9rtMO9Sq
Wissens-Wiki im IT-Betrieb und Notfall-Management bei der SFS services AG.;Cervellieri, Adrian;null;null;null;2012;2018-11-19 06:14:42+00:00;"Es gibt Widerspruch zu meiner Kolumne: ""Wenn Entscheidungsschwäche zum Produkt-Feature wird"": https://t.co/5jCPp7ImRf"
Informations- und Kommunikationsdienste für Wissensnetzwerke.;Raimann, Joerg & Back, Andrea;null;null;wisu das wirtschaftsstudium;01. Jun 02;2018-11-06 18:13:55+00:00;So kann man den Sommer auch beschwören. Garten-Cafe des Wagner Museum in Luzern. #VERLIEBTindieSCHWEIZ https://t.co/yb88Lt1FQX
Web-Conferencing Software Tools: A Comprehensive Market Survey.;Mayrhofer, David;null;null;null;01. Apr 04;2018-10-31 17:19:54+00:00;Ein malender Roboter, erfahre gerade mehr dazu im öffentlichen Programm @HSGStGallen. Evt nützlich für @smartfeld https://t.co/zBsFeGoNce
Aufbau einer massgeschneiderten IT-Architektur für das Wissensmanagement.;Back, Andrea;null;2. Österreichischer Wissensmanagement-Kongress;null;01. Mär 00;2018-10-31 17:19:54+00:00;Ein malender Roboter, erfahre gerade mehr dazu im öffentlichen Programm @HSGStGallen. Evt nützlich für @smartfeld https://t.co/zBsFeGoNce
Demos von Anwendungen aus der Praxis und Forschungsergebnissen.;Back, Andrea & von Koenigsmarck, Otfried;null;Knowledge Management Forum - von Semantic Enterprise über Competitive Intelligence bis zu Wissensmanagement;null;11. Sep 12;2018-10-29 16:25:18+00:00;@sms2sms Grade morgen an der Herbsttagung https://t.co/Lzdqd8KzZy, nur abends Zeit, besser nächste Gelegenheit, ist notiert. Wird Dez.
E-Learning im Unternehmen: Grundlagen - Strategien - Methoden - Technologien.;Back, Andrea;null;null;null;2001;2018-10-28 16:01:26+00:00;"@sms2sms Das mit der fundamentalen Wechselwirkung ""verstehe"" ich wohl, well said. Ich muss aber auch gestehen, dass… https://t.co/79va2dwg1h"
Virtuelle Kooperation - Erhaltung des Antriebs. (Virtual cooperation - Supporting the drive). Knowledge Integration after Mergers & Acquisitions in RWE.;Gurgul, Grzegorz;null;null;null;2002;2018-10-26 10:35:47+00:00;Als journalistische Profi-Bloggerin hat man viel zu schleppen, Nicht mehr lange - denn der Prototyp ihres Raupen-Ko… https://t.co/mYnZs9Cv6U
Learning Journal - Weblogs in Academic Courses.;Hain, Stefanie & Back, Andrea;Academic Publishing;3rd International Conference on e-Learning;null;26. Jun 08;2018-10-26 10:29:40+00:00;IronMan Sportler aufgepasst: Die Quallenkiller-App ist unterwegs - entwickelt von Kindern am #DigitalDay im Rahmen… https://t.co/1CbiBeRWxx
Bestimmung des Enterprise-2.0-Entwicklungsstands mit einem Reifegradmodell.;Friedel, Dominik & Back, Andrea;Oldenbourg;null;null;2012;2018-10-23 14:46:16+00:00;@sms2sms @OpenDataZH @TWIST2018 @statistik_zh @gnz @csarasuagar @Retosbr Wer sagt, und was genau: Unterscheidung La… https://t.co/I7v6pSeq1y
Wissensnetzwerke: Ihr Beitrag zum persönlichen und Unternehmenswachstum.;Back, Andrea;null;Siemens KAuDz;null;01. Mär 01;2018-10-23 14:27:07+00:00;Hart verhandeln um gleiches Verständnis von Begriffen - finde ich sehr guten Punkt! Aneinander vorbei reden/versteh… https://t.co/wD3PYYUdwD
Collaboration Between Corporations and Startups: The Startup-Collaboration-Model.;Peter, Lukas;null;null;null;2019;2018-10-18 17:05:06+00:00;Wie Videoüberwachung einen neuen Make-up-Style hervorbringt: https://t.co/tN5qyMV8iN
eLearning im Unternehmen: Lessons Learned und Erfahrungslücken.;Back, Andrea;null;Learntec;null;07. Feb 02;2018-10-18 17:01:01+00:00;Wo ist Machine Learning in CH-Unternehmen im Einsatz? Wer uns Einblick geben möchte, bitte für unsere Studie melden: https://t.co/utM1rxUPkl
Towards Measuring Crowdsourcing Success: An Empirical Study on Effects of External Factors in Online Idea Contest.;Walter, Thomas & Back, Andrea;AIS Electronic Library (AISeL);6th Mediterranean Conference on Information Systems (MCIS 2011);null;04. Sep 11;2018-10-17 15:55:37+00:00;Danke, schon Fäden aufgenommen https://t.co/xkcO4P1txM
Lernen mit elektronischen Medien: Projekt E-Learning der UBS AG, Zürich.;Bursian, Olaf;null;null;null;01. Mai 01;2018-10-14 20:01:25+00:00;Switzerland is also a tunnel country. They even build some for hikers! (Weg der Schweiz, Bauen-Isleten)… https://t.co/b1AeUx1rgT
Groupware. Editoral.;Back, Andrea;null;null;Informatik/Informatique;01. Jan 95;2018-10-08 20:25:06+00:00;Scope | Zukunft der Arbeit: Sagt die McK Studie auch, wieviele Jobs von 2005 es so heute nicht mehr gibt bzw die si… https://t.co/Ym0NZYDbF2
Organisation des Aussendiensttrainings in der Pharma-Branche: Entwicklung eines Referenzmodells mittels Fallstudienforschung.;Das Training von Außendienstmitarbeitern im Vertrieb stellt hinsichtlich seiner Organisation eine große Herausforderung dar. Weiterhin hat Training in der pharmazeutischen Industrie einen größeren Einfluss auf die Performance von Vertriebsmitarbeitern als in anderen Branchen. Die Autoren stellen im Rahmen dieser Forschungsarbeit ein Referenzmodell für das Außendiensttraining in dezentral organisierten, global operierenden Unternehmen der Pharmabranche vor. Dieses wurde im Rahmen eines Design-Science-Ansatzes mittels vergleichender Fallstudienforschung entwickelt. Untersucht wurden dabei die strategische Verankerung, die Aufbau- und Ablauforganisation sowie die Unterstützung einzelner Aufgaben des Außendiensttrainings durch Informations- und Kommunikationstechnologie an acht weltweit verteilten Standorten. Darauf aufbauend wurde anschließend das Referenzmodell entworfen, welches auch für die Praxis konkrete Gestaltungsempfehlungen liefert.;Physica;null;null;2007;2018-10-04 20:22:22+00:00;Bei 2-4 geht's um Verschwendung eliminieren. Gar nicht so schwer, wenn man erst mal die Augen dafür öffnet. https://t.co/i7amTWN723
Knowledge Networks for Business Growth.;;Springer;null;null;2006;2018-10-04 20:13:51+00:00;"Eltern, bitte auch lesen: Kompetenz zeigen - nur wie?
https://t.co/b5nBFgtqQI"
What are the Keys to a Successful Mobile Payment System? Case of Cytizi: Mobile Payment System.;Silic, Mario & Back, Andrea;IGI Global;null;Journal of Global Information Management;22. Aug 16;2018-10-04 19:43:29+00:00;"@glaschwitz Was genau ignorieren die 5 genannten Punkte? Ich finde dies auch ""bleibende Wahrheiten"", und sie geben… https://t.co/7wtZLMriFk"
Crowdsourcing as a Business Model: An exploration of emergent textbooks harnessing the wisdom of crowds.;Walter, Thomas & Back, Andrea;AIS;"23rd Bled eConference ""eTrust: Implications for the Individual, Enterprises and Society""";null;23. Jun 10;2018-10-04 19:31:03+00:00;Auch beim 3ten Kurs zu IoT bin ich lernend gern dabei https://t.co/uyWUIxXoPy
Current State Analysis and Identification of Opportunities in Roche's Sales Force Training.;Heidecke, Florian;null;null;null;01. Feb 05;2018-10-02 18:16:17+00:00;"Nida-Rümelin ""Wichtiger denn je ist das zentrale humanistische Bildungsideal, das sich in zwei Begriffe fassen läss… https://t.co/VjDM5wL6ya"
Paving the Way to Corporate e-Learning Adoption and Sustainability.;Back, Andrea;null;I-KNOW '04;null;1 July 2004;2018-10-01 19:09:22+00:00;RT @christoph: xkcd comic strip: Incoming Calls https://t.co/vJMlFaGDce
Classification of IS Functionalities for Workplace E-Collaboration.;Mayrhofer, David & Back, Andrea;Idea Group Publishing;14th Information Resource Management Association International Conference (IRMA);null;21. Mai 04;2018-09-30 10:01:29+00:00;Wenn es im Lehrplan 21 noch nicht drin sein sollte, dann gewiss in der nächsten Aktualisierungsrunde?! Scope | Lear… https://t.co/8TgfdCsBnW
Potenziale pädagogischer Agenten.;Bendel, Oliver;null;null;null;15. Jan 02;2018-09-30 09:59:12+00:00;"Es gibt sie noch: Lieblingsdinge aus unserer Kindheit die bleiben, und das zeitgemäss. Scope | Learning to Code: “""… https://t.co/grACvkBuEi"
E-HR - Strategic Upgrade.;Back, Andrea;null;null;Learntec New;01. Jun 02;2018-09-30 09:59:12+00:00;"Es gibt sie noch: Lieblingsdinge aus unserer Kindheit die bleiben, und das zeitgemäss. Scope | Learning to Code: “""… https://t.co/grACvkBuEi"
Wissensnetzwerke in Unternehmen - mit Technik und Pragmatismus zum Erfolg.;Back, Andrea;null;Learntec 07;null;15. Feb 07;2018-09-27 08:38:12+00:00;Nach Dekaden nun Farbe im Architektur Grau-in-Grau an der #HSG. Dank der #Coworking Bewegung m.E. https://t.co/qMi50g9Y3N
Success and Failure: Two Longitudinal Case Studies on Media-Tablet Usage in CRM.;Sammer, Thomas;null;null;null;12. Jun 13;2018-09-26 19:44:33+00:00;"Well said: ""Either we need an exponential improvement in human behavior -- less selfishness, less short-termism, mo… https://t.co/7PTcjhsPnM"
Erfolgsmessung zum Einsatz von Social Software im Softwareentwicklungsprozess am Beispiel der T-Systems Multimedia Solutions GmbH.;Sammer, Thomas;null;null;GI-Edition;22. Feb 11;2018-09-26 19:32:27+00:00;Köstlich. Für hochvernetzte - zerstreute? - Hirne eine Fundgrube! (von Anknüpfungspunkten) https://t.co/a7gYbEuVjU
Adoption of Mobile Business Solutions and its Impact on Organizational Stakeholders.;Berghaus, Sabine & Back, Andrea;Moderna Organizacija;"The 27th Bled eConference ""eEcosystems""";null;01. Jun 14;2018-09-23 09:46:59+00:00;Ob es bald noch weitere Episoden zu Digital-kompetenzen gibt?! Scope | Learning to Code: “SRF mySchool -  Sendungen… https://t.co/icKCUJoZHv
Plato-Cookbook: Wie gestalte ich meinen Unterricht im Internet-Klassenzimmer?;Back, Andrea;null;null;Forum;01. Feb 01;2018-09-21 07:16:13+00:00;"Gebäudetechnik &amp; Co - Smart Living - https://t.co/f2MlWkk5un Dieses Themenheft, 4/18, der Zeitschrift Wirtschaftsin… https://t.co/Liz6CuLUUz"
Enterprise Work 2.0: So arbeiten Profis im Netz ... und ich? Persönliche Standortbestimmung.;Back, Andrea;null;Last Monday - Donna Informatica;null;29. Jun 09;2018-09-21 07:11:31+00:00;Schau an, eine neue Schrift: https://t.co/CCE71O1WKj - Studierende sorgen sich oft, wie sie die Seiten ihrer Thesis… https://t.co/ufxoxf19yD
E-Learning als Wachstumsmarkt: Zahlen, Fakten und Beispiele.;Back, Andrea;null;"Pressekonferenz ""Preisrutsch ebnet E-Learning den Weg""";null;02. Nov 00;2018-09-15 19:51:55+00:00;"RT @barbarajosef: Unser Artikel ""Coworking as a New Innovation Scenario from the Perspective of Mature Organisations"" der diesjährigen OFEL…"
Wissensinitiativen: Überall, aber wo genau?;Ammann Schoch, Regina;null;null;io new management;01. Jan 03;2018-09-14 16:01:27+00:00;"Verträge in 2018: ""Um Reisekosten zu sparen, würden die Papiere ausgetauscht, was noch ein paar Tage dauern könne"".… https://t.co/eyjygNjIF8"
Wachstumsbarrieren bei der Nutzung von betrieblichen Lernplattformen.;Wildi, Dennis;null;null;HMD : Praxis der Wirtschaftsinformatik;01. Feb 11;2018-09-14 15:28:33+00:00;Kinder als 'Digital Makers'? So kanns gelingen. Scope | Learning to Code: “Kano - Make your own computer” via https://t.co/Yf74DmrAc3
Editoral.;Back, Andrea;null;null;Informatik/Informatique;01. Jan 98;2018-09-14 15:12:04+00:00;"Wie weit sollen (Social) Media mein Hirn gefangen nehmen? Gedanken dazu in Kolumne ""Meine Aufmerksamkeit gehört mir… https://t.co/OsLqssi5ZY"
eLearning 2.0: Web-Architekturen des Mitwirkens laden Sie ein.;Back, Andrea;null;eLearning an der LFUI - Rückblick und Ausblick;null;28. Sep 06;2018-09-11 12:52:20+00:00;@SkypeSupport Well - I use the latest Version 8.29.0.50. The red dot seems to work erraticly. I saw it once, but no… https://t.co/cMlsBXlHz3
2005: Virtuelle Universitäten auf dem Vormarsch.;Schuh, G.;null;null;Thexis-Sonderheft Management Szenarien 2005;01. Jan 98;2018-09-10 10:27:14+00:00;Maker Days for Kids. Ein kreativer Raum für EIGENE Projekte der Kinder. Scope | Learning to Code: “„Maker Days for… https://t.co/jHq6qRO6jW
Umsetzung objektorientierter Konstrukte im internen Rechnungswesen.;Back, Andrea;null;null;HMD: Praxis der Wirtschaftsinformatik;01. Jan 94;2018-09-10 10:23:23+00:00;Try-learn-adapt und andere Aha's!, wie sie ein Herzblut-Unternehmer seinen, und anderen, Kindern vermittelt. Scope… https://t.co/PdNZqUP9bg
Im virtuellen Klassenraum interaktiv arbeiten.;Back, Andrea;null;null;bulletin;01. Okt 03;2018-09-05 21:28:18+00:00;"@SkypeSupport Yes, exactly. The notification indicator is missing after ""up""- grade to desktop V 8.28.0.41"
Online-Video im E-Learning von Unternehmen - Bedeutung, Fallbeispiele, Didaktik, Produktion sowie Distribution mit Social Media.;Back, Andrea;null;Fachseminar;null;12. Aug 10;2018-09-05 21:21:04+00:00;Mit dem 'smarten' Zauberstab Harry Potter Welten programmieren: Scope | Learning to Code: “Harry Potter Coding Kit… https://t.co/taYfu4Y4V5
Kanzleiinformationssystem: Groupware-basiertes Wissensmanagement in Wirtschaftsprüfungs- und Steuerberatungskanzleien.;Back, Andrea & Seufert, Andreas;null;null;Datenverarbeitung-Steuer-Wirtschaft-Recht;01. Jan 98;2018-09-03 21:50:59+00:00;The red notification dot for the taskbar icon has gone in the new Skype. @SkypeSupport Will it come back? Other use… https://t.co/26p111boLl
State of the Art des Management Supports Teil 2: Neuere Management Support Ansätze.;Back, Andrea & Seufert, Andreas;null;null;null;04. Mär 97;2018-09-03 21:49:01+00:00;Der Raum als dritter Pädagoge - interessant formuliert, und wie wahr! - nicht nur für die Schule. https://t.co/JoYmB5Y30g
"RING-Workshop zum Thema ""Wissensmanagement"" bei Radio DRS.";Back, Andrea;null;null;null;18. Dez 01;2018-09-02 08:52:52+00:00;The red notification dot for the taskbar icon has gone in the new Skype. @microsoft_ch Will it come back? Other use… https://t.co/oh8INWCIxa
Towards knowledge networking.;Seufert, Andreas;null;null;Journal of Knowledge Management;01. Okt 99;2018-08-31 10:23:20+00:00;Challenge accepted, and masterd. Danke sehr @Namics, auch für Open Access. https://t.co/9FQVJDzM3B
Stages in Digital Business Transformation: Results of an Empirical Maturity Study.;Berghaus, Sabine & Back, Andrea;AIS Electronic Library (AISeL);10th Mediterranean Conference on Information Systems (MCIS 2016);null;04. Sep 16;2018-08-31 10:23:20+00:00;Challenge accepted, and masterd. Danke sehr @Namics, auch für Open Access. https://t.co/9FQVJDzM3B
Chief-Learning-Officer-Projektagenda 200x.;Back, Andrea;Ges. für Informatik;32. Jahrestagung der Gesellschaft für Informatik e.V. (GI);null;30. Sep 02;2018-08-21 08:45:37+00:00;"Wellness für den Geist gefällig - gerne Coworkingspace aufsuchen. Und es gibt kein einziges ""Oberlehrer""-Schild: https://t.co/q9Mqz0eO4E"
Disentangling the Fuzzy Front End of Digital Transformation: Activities and Approaches.;Berghaus, Sabine & Back, Andrea;Association for Information Systems;International Conference on Information Systems (ICIS) 2017;null;10. Dez 17;2018-08-14 10:55:14+00:00;"Great experience with #SurfaceBook Support - perfect workflow; also thanks to very responsive  @microsoft-ch. Now m… https://t.co/VTuefddLyr"
Wissensstrategien für die Zukunft.;Back, Andrea & Seufert, Andreas;null;null;Controller News;01. Jan 00;2018-08-14 10:41:58+00:00;Bei der feierlichen #Smartfeld Eröffnung https://t.co/2V8pelkbjp waren über 100 honorigen Gäste UND Kinder und Juge… https://t.co/m3BNCZRP6z
Wissensnetzwerke: Vision - Referenzmodell - Archetypen und Fallbeispiele.;Back, Andrea;null;null;null;1999;2018-08-09 18:16:29+00:00;"RT @burnedshop: Er will doch nur spielen ;-) Wir bei @Namics auch! Und Carl der Holzroboter hilft uns dabei. #smartfeld #carl https://t.co/…"
Identification and Importance of the Technological Risks of Open Source Software in the Enterprise Adoption Context.;Silic, Mario & Back, Andrea;Universität Osnabrück;12th International Conference on Wirtschaftsinformatik (WI 2015);null;05. Mär 15;2018-08-09 17:55:11+00:00;Einladung nach St.Gallen. Scope | Learning to Code: “SMARTFELD wird eröffnet am 13. August!” via https://t.co/PO0p58C9En
Critical Success Factors (CSF).;Back, Andrea;Springer;null;null;2001;2018-08-07 10:51:24+00:00;Trotz Schirm kein Schatten. Rückenansicht #chineseteahouse Potsdam. https://t.co/6vfj7GLsAu
Inter-, trans- und multidisziplinär – Eine essayistische Annäherung mit Blick auf die Wirtschaftsinformatik.;Back, Andrea;Springer Berlin Heidelberg;null;null;2014;2018-08-05 05:35:11+00:00;(M)ein Standardmitbringsel aus der CH, #alpenbitter in prominenter Gesellschaft, Byebye Bar Zue Flughafen https://t.co/vd2jJ19jRa
Wissensmanagement.;Back, Andrea;null;Kernprogramm Information Management, EMBA an der Universität Zürich;null;13. Mär 02;2018-07-31 13:49:40+00:00;"What a great idea for a Smart Textile (Min. 10:30); also love the visualization for the difficulty of the creative… https://t.co/Sv0rmWQ62r"
Dialogplattform Knowledge Management der Deutschen Bank AG (Internal Paper).;Bendel, Oliver;null;null;null;10. Mär 00;2018-07-27 15:59:00+00:00;Hab mein #SurfaceBook wohl zu heiss geliebt? Ja+nein, denn andere hatten das battery swell problem auch. Ob sich… https://t.co/QKZnwo1TQm
Trends im E-Learning - Chancen, die es zu nutzen gilt.;Back, Andrea;null;akte 06 - Know-how Transfer und angewandtes e-Learning im Gesundheitswesen;null;20. Okt 06;2018-07-24 09:15:48+00:00;"Zitat daraus ""Die Arbeitswelt hat sich ja tatsächlich gewandelt - nur halt nicht so eindimensional wie wir damals g… https://t.co/nidHNJ82UN"
Towards Microblogging Success Factors : An Empirical Survey on Twitter Usage of Austrian Universities.;Sammer, Thomas & Back, Andrea;AIS Electronic Library (AISeL);6th Mediterranean Conference on Information Systems (MCIS 2011);null;03. Sep 11;2018-07-23 09:45:33+00:00;Profs unterrichteten auch mal zu Hause am Kaminfeuer. Mit Coding Kursen an dieser FH fing es im Prof-Büro an. Scope… https://t.co/ELcjwhOs8t
Wissensmanagement strategisch verankern.;Ammann Schoch, Regina;null;null;Wissensmanagement : das Magazin für Führungskräfte;01. Apr 04;2018-07-16 11:03:56+00:00;Wir lernen durch Machen ... : https://t.co/8PYuCeLGim - Jüngste Auswahl von Beiträgen in der Themenbox Learning to Code
E-Learning strategisch! Balanced Scorecard: Strategieinstrument für E-Learning.;Back, Andrea;null;4. Fachtag Online Lernen;null;20. Sep 01;2018-06-26 16:32:10+00:00;RT @abstractsunday: https://t.co/tNSsSADgFq
HSG Business Engineering Research Program.;Back, Andrea;null;IS Seminar, City University of Hong Kong;null;07. Mär 06;2018-06-23 10:15:15+00:00;damals ... das Smarteste an Telefonen war, dass sie keine Wählscheibe mehr hatten... https://t.co/f013tEMnyg
Universitäre Ausbildung anno 2005.;Back, Andrea;null;null;Thexis-Sonderheft Management Szenarien 2005;01. Jan 98;2018-06-23 10:09:38+00:00;... “zum Gefängnis ist Hong Kong noch nicht geworden“ was müsste passieren dass wir so etwas über unser Land sagen? https://t.co/IA7NtFSaDf
IT und Wissensmanagement: Freude oder Feinde?;Back, Andrea;null;Kunden-Event Fritz&Maziol;null;19. Sep 01;2018-06-22 09:16:13+00:00;Lehrer sagt: “Sie haben das Klingeln zur Pause überhört“.    Scope | Learning to Code: “Kostenloses Unterrichtsmate… https://t.co/dZEzY7NL5b
E-Learning zunächst ganz pragmatisch als Kundenservice.;Back, Andrea;Studienverl.;null;Zeitschrift für E-Learning : Lernkultur und Bildungstechnologie;01. Dez 10;2018-06-20 13:13:49+00:00;Do you remember when you joined Twitter? I do! #MyTwitterAnniversary https://t.co/JIL7KUR5Qd
Lerntagebuch als Weblog innovativ umgesetzt.;Back, Andrea;null;HDZ'mittag;null;08. Feb 07;2018-06-20 13:11:04+00:00;... und manche wollen auch noch einen Referenten-Papiervertrag unterschrieben mit gelber Post zurück https://t.co/WUjmoHQXwm
Newsfeeds und Newsaggregatoren.;Heidecke, Florian;Oldenbourg;null;null;2008;2018-06-07 20:05:25+00:00;Bereits erste Lektion gemacht. Danke! Scope | Learning to Code: “Google Grasshopper: Spielerisch programmieren lern… https://t.co/SJOGmXPcZ2
The CC Model as Organizational Design Striving to Combine Relevance and Rigor.;Back, Andrea;null;null;Systemic Practice and Action Research;01. Feb 07;2018-06-07 20:05:25+00:00;Bereits erste Lektion gemacht. Danke! Scope | Learning to Code: “Google Grasshopper: Spielerisch programmieren lern… https://t.co/SJOGmXPcZ2
„Die Kinder üben eine Denkhaltung“.;Back, Andrea & Grüttner, Arne;Personalwirtschaft;null;Personalwirtschaft - Das Magazin für den Job HR: Alter! So fördern und nutzen Sie die Talente erfahrener Mitarbeiter;Jan 20;2018-06-07 18:31:43+00:00;Scope | Learning to Code: Was ist denn da in Italien los? So viele Hour of Code Aktivitäten, und rundum fast nicht?… https://t.co/2BjS0QludV
High-Tech Teaching in a Semi-Virtual CEMS Course: Experiences with Collaborative Learning in Action.;Back, Andrea;null;Forum sur l'enseignement de la gestion et les nouvelle technologies de la communication et de l'information;null;18. Mai 00;2018-06-06 04:01:11+00:00;Diesmal gut 10 J. jünger, wie nett! Im Vorbeigehen bei @advertima @STARTFELD befrage ich die Künstliche Intelligenz… https://t.co/MOiwXoSRdH
Rollen, Prozesse und Führung in der Digitalen Transformation: Ratgeber und Fallstudien zur Strategiearbeit für das digitale Zeitalter (Teil 2).;Berghaus, Sabine & Back, Andrea;T-Systems Multimedia Solutions GmbH;null;null;2016;2018-06-06 03:52:17+00:00;Sonnenaufgang mal anders. Ein Moment heute in der Goethestrasse https://t.co/rRYInfGhny
Blogs helfen beim Projekt-Management.;Back, Andrea;null;null;Computerwoche;01. Mai 07;2018-05-28 16:25:06+00:00;RT @barbarajosef: Must follow, für alle, die an neuen Kompetenzen und Bildung mit Zukunft interessiert sind. Neue @thescopecom Box „Learnin…
